epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,796.439,1.00789,1.18762,0.01535,0.85948,0.84348,0.92371,0.75716,0.79199,0.56769,0.01523,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,821.74,0.98948,1.19525,0.01493,0.87133,0.86634,0.94598,0.77145,0.75849,0.58222,0.01432,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,846.813,1.00884,1.23591,0.0154,0.8463,0.86502,0.94131,0.77091,0.77339,0.59658,0.01473,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,872.175,0.99995,1.19813,0.01519,0.87781,0.84559,0.93539,0.77306,0.75403,0.55619,0.01452,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,897.891,0.98332,1.14057,0.01517,0.88378,0.88558,0.95506,0.77575,0.77016,0.48578,0.01474,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,923.389,0.99892,1.16578,0.01509,0.88584,0.85085,0.9283,0.7645,0.77081,0.5278,0.01499,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,948.889,0.98677,1.15869,0.01496,0.86738,0.85252,0.94295,0.77992,0.73526,0.53638,0.01383,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,974.463,0.98212,1.15854,0.01487,0.83762,0.89984,0.9516,0.78926,0.74729,0.48452,0.01433,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,1000.2,0.98668,1.14801,0.01478,0.87715,0.84491,0.93654,0.78385,0.72113,0.51563,0.01376,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,1025.93,0.98282,1.11465,0.0149,0.88644,0.88757,0.9489,0.78676,0.74951,0.47123,0.01458,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,1051.36,0.97717,1.12545,0.01467,0.89635,0.8875,0.9614,0.79661,0.75476,0.46252,0.01435,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
41,1076.97,0.97979,1.09192,0.01491,0.90418,0.88483,0.95829,0.80157,0.71671,0.4591,0.0135,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
42,1102.64,0.95806,1.07015,0.01466,0.88548,0.89936,0.95393,0.7974,0.72543,0.44123,0.01393,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072
43,1128.2,0.95746,1.05676,0.01438,0.91235,0.9084,0.97156,0.80922,0.72627,0.42652,0.01353,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
44,1153.78,0.95146,1.07656,0.01423,0.90455,0.91924,0.96965,0.8069,0.73989,0.42317,0.01407,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658
45,1179.44,0.9529,1.03339,0.01453,0.87902,0.92254,0.95993,0.79951,0.72869,0.42038,0.01389,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
46,1204.84,0.96541,1.06264,0.01444,0.88105,0.897,0.95413,0.78663,0.74466,0.47476,0.01404,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
47,1230.28,0.95026,1.06083,0.01435,0.89051,0.8944,0.96129,0.80009,0.71501,0.44192,0.01355,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
48,1255.77,0.96249,1.05481,0.01411,0.88577,0.89562,0.95667,0.79456,0.71336,0.44028,0.01338,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245
49,1281.14,0.9463,1.02226,0.01428,0.89635,0.85996,0.95244,0.79171,0.73963,0.48393,0.01397,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
50,1306.52,0.9594,1.03319,0.0146,0.9095,0.93578,0.97707,0.8229,0.7108,0.4088,0.01329,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251
51,1331.84,0.93485,1.00755,0.01408,0.90035,0.90976,0.96174,0.80568,0.712,0.4331,0.01358,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
52,1357.25,0.93172,1.01136,0.01425,0.89366,0.9189,0.96279,0.80398,0.72983,0.42065,0.0139,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
53,1382.57,0.92964,0.9803,0.0139,0.86967,0.93492,0.96079,0.80793,0.70739,0.4065,0.0134,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
54,1408.16,0.92696,0.9605,0.01389,0.90162,0.89755,0.95939,0.80148,0.72078,0.40672,0.01378,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697
55,1433.65,0.93773,0.99999,0.01411,0.91233,0.88899,0.97022,0.80417,0.73498,0.41529,0.01387,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
56,1458.89,0.92604,0.96085,0.01395,0.88507,0.90093,0.95547,0.80594,0.6957,0.41783,0.01324,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
57,1484.49,0.92936,0.97499,0.01408,0.93183,0.88192,0.96026,0.80296,0.71631,0.42635,0.01398,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
58,1510.14,0.92149,0.98573,0.01396,0.92341,0.90746,0.96638,0.81548,0.69004,0.37953,0.01307,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
59,1535.77,0.92758,0.97662,0.01366,0.92314,0.90037,0.96203,0.80489,0.71831,0.40227,0.01357,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
60,1561.49,0.9331,0.96806,0.01415,0.91005,0.93305,0.97613,0.82052,0.71574,0.39093,0.01351,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488
61,1587.33,0.95329,1.00702,0.01396,0.89443,0.94529,0.97558,0.81691,0.71851,0.3682,0.01356,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
62,1612.87,0.94711,0.97382,0.01407,0.9138,0.91687,0.97456,0.82846,0.68089,0.3991,0.01271,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395
63,1638.4,0.90746,0.95439,0.01337,0.95022,0.88647,0.97035,0.81798,0.71523,0.36567,0.0137,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
64,1663.77,0.92869,0.9424,0.01395,0.91229,0.92485,0.97048,0.81004,0.72597,0.38653,0.01352,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
65,1689.27,0.91951,0.90752,0.0136,0.90843,0.95521,0.97567,0.81651,0.71149,0.37956,0.0134,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
66,1714.75,0.9259,0.90539,0.01394,0.91119,0.93802,0.97349,0.81942,0.70135,0.35785,0.01319,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
67,1740.32,0.92222,0.94898,0.01385,0.94227,0.92802,0.97684,0.82584,0.67218,0.33748,0.0124,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
68,1765.85,0.91414,0.9198,0.01366,0.93988,0.93784,0.97512,0.8253,0.6719,0.34749,0.01265,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079
69,1791.58,0.91687,0.92136,0.01369,0.91683,0.94142,0.97459,0.81912,0.70401,0.3611,0.01316,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
70,1817.37,0.9072,0.92483,0.01371,0.92501,0.9328,0.97632,0.82428,0.70539,0.36351,0.0132,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
71,1843.16,0.9046,0.88806,0.01348,0.92479,0.9277,0.97595,0.81372,0.72128,0.38263,0.01355,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
