epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,203.829,1.10849,5.19082,0.02024,0.41265,0.51282,0.46326,0.29364,1.15895,1.78735,0.02813,0.00998667,0.00332889,0.00998667,0.00332889,0.00998667,0.00332889,0.00998667,0.00332889
2,341.267,1.20974,3.4006,0.0217,0.7569,0.75672,0.85037,0.53101,1.29257,0.97188,0.03195,0.0199861,0.00666204,0.0199861,0.00666204,0.0199861,0.00666204,0.0199861,0.00666204
3,478.262,1.28334,2.47279,0.02314,0.78706,0.80091,0.89915,0.53049,1.3749,0.93993,0.03469,0.0299834,0.00999447,0.0299834,0.00999447,0.0299834,0.00999447,0.0299834,0.00999447
4,613.604,1.33201,1.98224,0.02445,0.82085,0.88096,0.92895,0.5722,1.34953,0.71828,0.03367,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,743.883,1.3378,1.64841,0.02436,0.86507,0.91618,0.94594,0.60151,1.21761,0.70887,0.0296,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,875.912,1.31508,1.48175,0.02391,0.88015,0.9065,0.94026,0.60729,1.22172,0.65121,0.0297,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,1002.9,1.31475,1.40414,0.02355,0.87651,0.92956,0.946,0.59701,1.24459,0.58979,0.03051,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,1139.26,1.32349,1.317,0.02371,0.928,0.93211,0.96346,0.60276,1.31902,0.54123,0.03267,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,1268.34,1.32391,1.30543,0.02372,0.94272,0.95066,0.97044,0.62373,1.25479,0.50615,0.03091,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,1400.14,1.30424,1.26761,0.02335,0.94965,0.94279,0.96645,0.61687,1.29596,0.5194,0.03153,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,1535.83,1.29038,1.21019,0.02302,0.8977,0.9348,0.95557,0.61731,1.23827,0.54419,0.02998,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,1668.78,1.28307,1.16322,0.02289,0.94608,0.93315,0.9615,0.61492,1.2239,0.52122,0.03012,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,1807.8,1.27126,1.18324,0.02259,0.84907,0.92272,0.95012,0.61803,1.19016,0.58458,0.02889,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,1947.21,1.26444,1.15221,0.02232,0.93568,0.95419,0.96914,0.62886,1.23154,0.51148,0.03013,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,2087.95,1.25409,1.13713,0.0223,0.87307,0.92643,0.94804,0.61206,1.21752,0.59308,0.02982,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,2226.23,1.25902,1.11173,0.02235,0.94093,0.95849,0.97094,0.6269,1.24924,0.53073,0.03027,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,2365.22,1.24203,1.07033,0.02207,0.94181,0.95708,0.96791,0.62371,1.24744,0.48577,0.03063,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,2505.45,1.24673,1.10861,0.02189,0.95223,0.9421,0.96927,0.63424,1.19718,0.51289,0.02887,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,2646.18,1.24059,1.05998,0.02185,0.95929,0.95819,0.96963,0.63207,1.20827,0.50238,0.02944,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
20,2785.96,1.24952,1.05104,0.02205,0.95189,0.96383,0.97266,0.63634,1.21129,0.49964,0.02944,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234
21,2926.46,1.23542,1.043,0.02208,0.94021,0.93889,0.97002,0.62781,1.22241,0.5157,0.02992,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
22,3061.92,1.23578,1.018,0.0217,0.94946,0.95244,0.96861,0.63927,1.1918,0.50246,0.02879,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
23,3198.03,1.23397,1.02617,0.022,0.95319,0.9548,0.97109,0.63098,1.2337,0.4971,0.0301,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
24,3334.64,1.21871,1.01733,0.02142,0.92544,0.95088,0.96109,0.63929,1.13995,0.53746,0.02747,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711
25,3471.76,1.21563,1.03895,0.02131,0.95633,0.96948,0.96983,0.62994,1.22264,0.49476,0.02985,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
26,3605.24,1.23474,1.00118,0.02186,0.94804,0.95121,0.96574,0.63474,1.1871,0.5193,0.02867,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
27,3736.72,1.22265,1.00046,0.02158,0.92442,0.95671,0.96946,0.6362,1.18967,0.49668,0.02881,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
28,3868.01,1.22632,0.98702,0.02145,0.95631,0.93374,0.96299,0.64182,1.18266,0.51459,0.02849,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
29,3956.72,1.22047,0.9928,0.02126,0.94496,0.95364,0.96067,0.6357,1.15445,0.53708,0.0277,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
30,4065.27,1.20644,0.99311,0.02118,0.95084,0.96128,0.96529,0.63604,1.16895,0.48765,0.02818,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,4193.55,1.20933,0.99152,0.02113,0.96048,0.96563,0.96966,0.63801,1.20567,0.48055,0.02907,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,4276.65,1.19063,0.98178,0.02082,0.94669,0.95366,0.96491,0.64387,1.16834,0.52301,0.02822,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,4368.53,1.19221,0.98054,0.02074,0.95905,0.96702,0.97108,0.6492,1.17263,0.50217,0.02823,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,4461.14,1.1981,0.97612,0.02103,0.96114,0.9588,0.9684,0.64867,1.15104,0.48888,0.02757,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,4605.17,1.1914,0.95569,0.02077,0.94894,0.93605,0.9626,0.64077,1.1452,0.5403,0.02748,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,4751.28,1.1863,0.94793,0.02077,0.95166,0.95669,0.96474,0.63703,1.15472,0.50475,0.02796,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,4874.9,1.20679,0.93597,0.02103,0.94188,0.95039,0.96817,0.64067,1.16447,0.53658,0.0279,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,5008.66,1.20079,0.93806,0.02101,0.95294,0.96246,0.96686,0.64044,1.16305,0.4819,0.02793,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
