epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1172.91,0.79564,1.16251,0.01188,0.83252,0.87196,0.93109,0.79358,0.64737,0.52685,0.01196,0.000165574,0.000165574,0.000165574
43,1200.48,0.80291,1.17673,0.01176,0.81068,0.87739,0.93316,0.79552,0.64659,0.49719,0.01197,0.000164076,0.000164076,0.000164076
44,1228.16,0.7956,1.15681,0.01169,0.82992,0.87849,0.92757,0.79303,0.6451,0.51987,0.01186,0.000162577,0.000162577,0.000162577
45,1255.54,0.78736,1.11491,0.01168,0.85309,0.87849,0.94202,0.8075,0.63085,0.48645,0.01169,0.000161079,0.000161079,0.000161079
46,1283.05,0.79661,1.14365,0.0117,0.85355,0.84394,0.92971,0.79552,0.63208,0.53621,0.0116,0.000159581,0.000159581,0.000159581
47,1310.75,0.78984,1.12471,0.01161,0.86237,0.8695,0.9383,0.80511,0.63332,0.47862,0.01169,0.000158083,0.000158083,0.000158083
48,1338.53,0.79111,1.11422,0.01135,0.85415,0.8797,0.9398,0.80782,0.62218,0.48364,0.01156,0.000156585,0.000156585,0.000156585
49,1366.11,0.78653,1.10546,0.01156,0.8533,0.88439,0.94524,0.81805,0.62083,0.45524,0.01139,0.000155086,0.000155086,0.000155086
50,1393.69,0.79631,1.09452,0.01185,0.87557,0.86241,0.94726,0.8072,0.6388,0.47268,0.01167,0.000153588,0.000153588,0.000153588
51,1421.33,0.78257,1.06859,0.01133,0.86871,0.87349,0.94133,0.8078,0.63856,0.48284,0.01175,0.00015209,0.00015209,0.00015209
52,1448.96,0.78154,1.0591,0.01163,0.84753,0.87977,0.94076,0.80169,0.6474,0.47906,0.01205,0.000150592,0.000150592,0.000150592
53,1476.57,0.77823,1.04787,0.01142,0.87817,0.86847,0.95176,0.809,0.63679,0.45829,0.01169,0.000149094,0.000149094,0.000149094
54,1504.07,0.76863,1.0002,0.01131,0.88336,0.8696,0.9481,0.8154,0.6276,0.47297,0.01157,0.000147595,0.000147595,0.000147595
55,1531.57,0.77409,1.04351,0.01138,0.8966,0.8742,0.95723,0.82303,0.62321,0.42935,0.01146,0.000146097,0.000146097,0.000146097
56,1558.98,0.76762,1.00678,0.01141,0.87832,0.86205,0.95026,0.81501,0.62871,0.46429,0.01162,0.000144599,0.000144599,0.000144599
57,1586.39,0.78033,1.01358,0.01152,0.86758,0.87813,0.94761,0.81382,0.63193,0.46052,0.01173,0.000143101,0.000143101,0.000143101
58,1613.63,0.76882,1.00767,0.01137,0.89705,0.87029,0.95847,0.82422,0.62334,0.41892,0.01157,0.000141603,0.000141603,0.000141603
59,1641.04,0.76467,1.00395,0.01104,0.902,0.8731,0.95772,0.82374,0.62517,0.43655,0.01152,0.000140104,0.000140104,0.000140104
60,1668.71,0.76742,0.97118,0.01132,0.85436,0.9029,0.95138,0.8166,0.62846,0.45197,0.0116,0.000138606,0.000138606,0.000138606
61,1696.37,0.78401,1.00883,0.01127,0.87939,0.88197,0.95552,0.81939,0.62795,0.45386,0.01163,0.000137108,0.000137108,0.000137108
62,1723.94,0.77926,0.95427,0.01133,0.84824,0.89297,0.94854,0.81238,0.62693,0.44838,0.01156,0.00013561,0.00013561,0.00013561
63,1751.38,0.76208,0.95036,0.01111,0.88765,0.88342,0.95669,0.82081,0.63012,0.42473,0.01167,0.000134112,0.000134112,0.000134112
64,1778.79,0.76531,0.98076,0.01122,0.88637,0.90778,0.96415,0.82802,0.63351,0.40344,0.01188,0.000132613,0.000132613,0.000132613
65,1806.31,0.76529,0.92905,0.0111,0.89957,0.88623,0.96256,0.82569,0.63039,0.42859,0.01161,0.000131115,0.000131115,0.000131115
66,1834.05,0.76327,0.96547,0.01111,0.89531,0.87434,0.95609,0.82268,0.62375,0.41774,0.01155,0.000129617,0.000129617,0.000129617
67,1861.73,0.76074,0.95276,0.01124,0.8927,0.88568,0.96032,0.82556,0.63221,0.41666,0.01186,0.000128119,0.000128119,0.000128119
68,1889.45,0.77042,0.94372,0.01127,0.92525,0.87613,0.96345,0.82676,0.62215,0.41447,0.01147,0.000126621,0.000126621,0.000126621
69,1917.21,0.76575,0.90617,0.01113,0.89689,0.90492,0.96322,0.82747,0.62629,0.41363,0.01147,0.000125122,0.000125122,0.000125122
70,1944.94,0.76034,0.91784,0.01128,0.90484,0.91659,0.9677,0.83641,0.62277,0.38166,0.01156,0.000123624,0.000123624,0.000123624
71,1972.37,0.74694,0.87933,0.01078,0.93243,0.875,0.96485,0.82858,0.62499,0.39741,0.01153,0.000122126,0.000122126,0.000122126
72,1999.7,0.74262,0.89486,0.01098,0.91635,0.88684,0.96636,0.83364,0.62254,0.40057,0.01145,0.000120628,0.000120628,0.000120628
73,2027.04,0.75007,0.89298,0.01086,0.91875,0.8797,0.96029,0.82605,0.63102,0.39904,0.01164,0.00011913,0.00011913,0.00011913
