epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,54.1282,1.07369,5.0762,0.01181,0.56592,0.64699,0.64141,0.52171,0.76933,1.5977,0.01111,0.00997033,0.00332344,0.00997033,0.00332344,0.00997033,0.00332344,0.00997033,0.00332344
2,93.5658,0.96956,2.7515,0.01015,0.71428,0.83669,0.89379,0.73146,0.7546,0.72701,0.01054,0.0199698,0.00665659,0.0199698,0.00665659,0.0199698,0.00665659,0.0199698,0.00665659
3,128.996,1.02106,1.71134,0.011,0.82192,0.78703,0.85741,0.67394,0.87047,0.82153,0.01211,0.0299671,0.00998902,0.0299671,0.00998902,0.0299671,0.00998902,0.0299671,0.00998902
4,163.099,1.05817,1.14158,0.01137,0.8665,0.91513,0.95209,0.73959,0.8996,0.53761,0.01201,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,205.269,1.07363,0.90296,0.01146,0.94551,0.92512,0.9828,0.73932,0.93097,0.41027,0.01331,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,251.582,1.03282,0.77059,0.01085,0.91823,0.95958,0.98174,0.71416,1.04803,0.41972,0.01434,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,291.727,1.00887,0.68611,0.01055,0.78824,0.62933,0.80295,0.61091,0.96173,1.30822,0.01373,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,327.615,0.96636,0.66474,0.0103,0.98736,0.97069,0.9936,0.77648,0.85228,0.2733,0.01118,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,369.93,0.98015,0.62156,0.01054,0.98508,0.97509,0.99411,0.81169,0.76428,0.23687,0.0103,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,411.291,0.96167,0.58453,0.01011,0.92365,0.91033,0.95444,0.7406,0.9277,0.47046,0.01355,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,452.441,0.95411,0.58752,0.00985,0.97013,0.93435,0.9775,0.76044,0.82654,0.36777,0.01198,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,494.184,0.91429,0.56638,0.00939,0.97626,0.95782,0.9913,0.83433,0.71402,0.24998,0.01028,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,535.82,0.92268,0.53993,0.00978,0.97934,0.9709,0.99321,0.81526,0.70818,0.35541,0.00977,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,577.831,0.88816,0.50988,0.00905,0.97588,0.99664,0.9947,0.84056,0.65948,0.20862,0.00905,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,620.034,0.88873,0.49792,0.0092,0.96526,0.98376,0.99091,0.83275,0.67645,0.2204,0.00962,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,661.467,0.87438,0.47842,0.00902,0.98615,0.98369,0.99383,0.84019,0.68073,0.27918,0.00878,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,703.11,0.86115,0.47209,0.00883,0.97727,0.98495,0.99326,0.85127,0.64116,0.20816,0.00893,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,744.581,0.83572,0.44675,0.00836,0.98628,0.9635,0.99121,0.83908,0.68569,0.23853,0.00947,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,786.05,0.8479,0.43684,0.0086,0.98912,0.9767,0.99325,0.84044,0.65831,0.20954,0.00906,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
20,827.737,0.8651,0.45725,0.00878,0.96915,0.97387,0.98956,0.83702,0.69268,0.24235,0.00987,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234
21,870.531,0.83595,0.45071,0.00848,0.97521,0.97027,0.99343,0.82033,0.72933,0.33859,0.01041,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
22,915.075,0.83546,0.42438,0.00871,0.95395,0.97967,0.98955,0.83571,0.67977,0.2444,0.00967,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
23,956.2,0.83039,0.41858,0.00831,0.98524,0.96618,0.99045,0.8299,0.72014,0.24554,0.01056,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
24,997.942,0.80113,0.41838,0.0082,0.99376,0.99013,0.99478,0.87131,0.5747,0.17432,0.00798,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711
25,1039.51,0.80404,0.42015,0.00804,0.98224,0.97672,0.99383,0.84966,0.65096,0.21179,0.00892,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
26,1083.57,0.79655,0.4185,0.00803,0.99492,0.99284,0.99493,0.85768,0.60447,0.18112,0.0083,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
27,1125.68,0.77751,0.38592,0.00774,0.98326,0.99142,0.99362,0.85368,0.61962,0.20075,0.00881,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
28,1167.78,0.79226,0.39594,0.0081,0.99445,0.98142,0.99421,0.87358,0.59669,0.18575,0.00791,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
29,1209,0.77575,0.38716,0.00772,0.99013,0.98541,0.99387,0.8703,0.56287,0.18575,0.00762,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
30,1250.09,0.77951,0.38189,0.00774,0.99608,0.9987,0.995,0.8723,0.5547,0.16522,0.00764,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,1292.22,0.75649,0.37366,0.00762,0.99532,0.97846,0.99463,0.8646,0.5847,0.18859,0.0079,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,1334.8,0.75918,0.35822,0.00758,0.98478,0.99375,0.995,0.86889,0.59018,0.17902,0.00799,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,1376.77,0.74411,0.36486,0.0074,0.99007,0.99154,0.99422,0.84851,0.60315,0.19745,0.00858,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,1418.3,0.74521,0.38524,0.00742,0.99441,0.98104,0.99463,0.86815,0.5745,0.17814,0.00821,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,1459.69,0.7513,0.35646,0.00758,0.98248,0.99194,0.99443,0.87762,0.5624,0.17945,0.00755,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,1501.33,0.74412,0.36222,0.00749,0.99576,0.99658,0.995,0.88836,0.53753,0.16062,0.00769,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,1542.84,0.7341,0.34325,0.00732,0.99511,0.97791,0.99444,0.86475,0.5894,0.17974,0.00847,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,1584.34,0.73446,0.34604,0.00735,0.98177,0.99755,0.99478,0.86537,0.5923,0.17297,0.00804,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,1626.51,0.75354,0.3397,0.00758,0.99496,0.98597,0.99486,0.86906,0.58552,0.17434,0.00795,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,1668.65,0.72992,0.35941,0.00736,0.98055,0.99963,0.995,0.87498,0.56974,0.16785,0.0079,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
41,1710.67,0.74705,0.36552,0.00763,0.99233,0.99841,0.995,0.86102,0.58567,0.16817,0.00821,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
42,1752.34,0.71675,0.33202,0.00716,0.99711,0.99654,0.995,0.88012,0.53788,0.16265,0.00749,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072
43,1793.74,0.72596,0.3421,0.00727,0.98236,0.99382,0.99458,0.8707,0.57452,0.17399,0.0084,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
44,1834.97,0.71741,0.31851,0.0071,0.98922,0.99082,0.99477,0.88247,0.56084,0.16953,0.00746,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658
45,1876.1,0.7082,0.32753,0.00715,0.99265,0.9986,0.995,0.88127,0.54954,0.162,0.00763,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
46,1918.11,0.70097,0.33058,0.00688,0.99498,0.99703,0.995,0.88888,0.52519,0.15141,0.00719,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
47,1959.91,0.71122,0.32679,0.00706,0.99755,0.98317,0.99463,0.88392,0.54376,0.16241,0.00769,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
48,2001.49,0.71078,0.3287,0.00691,0.9934,0.98819,0.99457,0.89038,0.50313,0.16297,0.00692,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245
49,2043.09,0.71027,0.32423,0.0071,0.97903,0.99639,0.99422,0.8852,0.52304,0.17086,0.0074,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
50,2084.62,0.71316,0.3272,0.00712,0.99474,0.98451,0.99466,0.88209,0.54868,0.17451,0.00793,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251
51,2126.33,0.70968,0.33373,0.00702,0.99829,0.98956,0.99385,0.88515,0.50597,0.14435,0.00709,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
52,2167.83,0.70082,0.31737,0.00676,0.98718,0.98733,0.99441,0.88992,0.51795,0.16145,0.00749,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
